SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532754,GMR INFRASTR,A ,Q,16.55,17.25,16.50,16.85,16.85,16.30,2118,3223840,54183656.00,
532755,TECH MAH    ,A ,Q,693.00,703.70,683.00,701.60,701.60,692.60,3274,171720,119143028.00,
532756,MAHINDCIE   ,A ,Q,239.25,248.85,238.70,245.10,245.10,238.20,396,15141,3714207.00,
532757,VOLTAMP TRAN,B ,Q,1030.00,1050.00,1014.70,1024.30,1039.15,1019.80,81,445,458870.00,
532759,ATLANTA     ,B ,Q,50.70,53.25,50.00,51.50,51.65,49.20,812,94145,4860780.00,
532760,DEEP INDS   ,B ,Q,101.60,103.50,96.90,100.25,99.90,100.15,741,23326,2331812.00,
532761,HOV SERVICES,B ,Q,213.80,236.30,213.00,225.65,225.65,198.90,1161,41921,9620303.00,
532762,ACTION CONST,B ,Q,141.40,149.00,141.30,146.05,146.05,148.70,1628,171808,24836031.00,
532764,GEECEE      ,B ,Q,142.80,145.40,140.75,141.70,141.30,137.70,54,1652,234577.00,
532765,USHER AGRO  ,B ,Q,2.30,2.40,2.30,2.39,2.40,2.30,15,7610,18063.00,
532766,RICHA IND   ,X ,Q,5.85,5.89,5.65,5.70,5.67,5.65,53,11077,63189.00,
532767,GAYATRI PROJ,B ,Q,178.30,178.95,176.00,177.40,177.15,177.45,73,3227,572602.00,
532768,FIEM INDS   ,B ,Q,833.40,851.50,826.40,849.95,842.10,819.95,44,363,305808.00,
532770,HANUNG TOYS ,T ,Q,2.23,2.23,2.16,2.16,2.16,2.13,6,2125,4695.00,
532771,JHS SVEN    ,B ,Q,43.05,46.60,42.95,45.90,46.20,43.55,336,33207,1507483.00,
532772,DCBBANK     ,A ,Q,180.00,184.00,179.80,182.00,182.00,179.70,601,59227,10798271.00,
532773,GLOBAL VECT ,B ,Q,97.00,99.70,95.00,99.05,99.70,95.35,134,7652,755204.00,
532775,GTL INFRAST ,T ,Q,1.52,1.63,1.51,1.51,1.51,1.58,208,968038,1472611.00,
532776,SHIVAM AUTO ,B ,Q,60.90,62.75,60.55,61.05,61.00,62.15,120,12739,778592.00,
532777,INFO EDGE   ,A ,Q,1217.40,1229.00,1181.60,1208.40,1214.40,1215.85,139,1102,1323091.00,
532778,LANCO INFRA ,T ,Q,0.82,0.85,0.82,0.82,0.82,0.86,220,506575,415394.00,
532779,TORNT POWER ,A ,Q,262.40,266.40,258.05,265.30,265.30,260.50,816,53369,14093222.00,
532780,PARSVNATH   ,B ,Q,12.60,12.99,12.55,12.64,12.65,12.11,184,13367,170762.00,
532782,SUTLEJ TEXT ,B ,Q,58.55,59.00,57.70,58.00,58.00,56.95,45,4277,249421.00,
532783,DAAWAT      ,B ,Q,68.50,70.65,68.35,69.50,69.50,68.40,803,113942,7924312.00,
532784,SOBHA       ,A ,Q,490.80,503.70,490.80,498.10,498.10,486.65,387,8365,4169141.00,
532785,RUCHIRA PAP ,B ,Q,115.00,118.00,112.05,113.55,114.00,111.55,358,20450,2335824.00,
532787,ESS DEE ALUM,T ,Q,29.95,30.45,28.15,29.00,29.90,29.60,149,14885,428563.00,
532788,XLENERGY    ,T ,Q,1.55,1.55,1.48,1.48,1.48,1.55,11,3595,5563.00,
532790,TANLA       ,T ,Q,28.15,29.10,28.15,29.10,29.10,27.75,60,13039,375895.00,
532794,ZEEMEDIA    ,B ,Q,30.60,31.15,30.15,30.50,30.40,30.25,187,31098,950632.00,
532795,SITINET     ,B ,Q,11.60,12.30,10.60,11.72,11.72,11.90,112,16128,186464.00,
532796,LUMAX TECH  ,B ,Q,162.00,170.00,160.05,168.20,168.20,772.30,200,9107,1516854.00,SS
532797,AUTOIND     ,B ,Q,68.50,72.00,68.25,71.35,71.40,65.40,70,3507,246822.00,
532798,NTWK MED INV,A ,Q,42.40,42.75,41.70,42.45,42.10,41.90,398,92221,3907862.00,
532799,HUBTOWN     ,B ,Q,60.10,62.00,59.25,61.05,60.85,60.50,280,57610,3511862.00,
532800,TV18BRDCST  ,A ,Q,52.75,53.30,52.10,52.85,52.85,52.30,1931,644407,33916667.00,
532801,CAMBRIDGE   ,B ,Q,56.25,56.25,56.25,56.25,56.25,57.35,2,8,450.00,
532804,TECHNOCRAFT ,B ,Q,558.50,558.50,512.00,518.90,518.90,511.10,35,360,187479.00,
532805,REDINGTON   ,A ,Q,118.60,121.45,115.35,116.60,117.00,114.85,649,1243134,145463533.00,
532806,AI CHAMPDNY ,T ,Q,27.00,28.95,27.00,28.95,28.95,28.40,3,17,481.00,
532807,CINELINE    ,B ,Q,60.25,62.95,59.15,60.25,60.00,59.55,36,2836,171791.00,
532808,PGIL        ,B ,Q,115.00,117.50,115.00,117.50,117.50,115.00,5,126,14653.00,
532809,FSL         ,A ,Q,76.85,79.50,76.60,79.10,79.10,75.95,7251,1514748,118670528.00,
532810,POWER FINAN ,A ,Q,80.50,83.70,80.50,83.05,83.05,80.65,2239,700121,57768317.00,
532811,AHLUWALIA CO,B ,Q,333.00,357.00,331.30,351.25,357.00,335.00,37,1213,416647.00,
532812,TRANSWARRANT,B ,Q,5.50,5.54,5.40,5.40,5.40,5.49,9,2229,12146.00,
532813,C & C CONSTR,B ,Q,34.80,34.80,34.80,34.80,34.80,33.15,14,985,34278.00,
532814,INDIAN BANK ,A ,Q,347.85,354.80,344.45,350.95,348.10,346.85,1446,109330,38221360.00,
532815,SMS PHARMACE,B ,Q,65.05,67.25,63.40,65.90,65.50,63.10,35,2157,142066.00,
532817,ORIENTAL    ,B ,Q,12.59,12.59,12.59,12.59,12.59,13.25,5,369,4645.00,
532819,MINDTREE LTD,A ,Q,1029.00,1029.00,1006.05,1011.70,1014.15,1012.65,1253,29469,29883500.00,
532820,ELAND       ,B ,Q,8.70,9.38,8.05,9.38,9.38,8.53,45,14624,135320.00,
532822,IDEA CELL   ,A ,Q,59.00,62.15,58.95,61.50,61.50,59.05,2539,1363896,83343401.00,
532823,EURO CERAMIC,B ,Q,3.90,4.40,3.60,3.77,3.95,3.89,73,31210,123649.00,
532826,RAJ TELE    ,B ,Q,50.00,50.25,46.45,49.90,50.00,49.60,17,680,32912.00,
532827,PAGE INDUSTR,A ,Q,25062.90,25320.00,24712.20,24788.75,24840.65,24747.45,220,515,12840193.00,
532828,AMD INDUS   ,B ,Q,21.00,21.90,21.00,21.90,21.90,20.90,22,3717,80741.00,
532829,LAWRESHWAR  ,X ,Q,37.00,38.95,33.50,35.35,33.50,35.35,30,1698,59521.00,
532830,ASTRAL POLY ,A ,Q,1026.00,1052.20,1000.00,1007.35,1009.25,1024.70,201,2124,2173708.00,
532832,INDBUL REAL ,A ,Q,179.65,180.40,176.25,176.95,176.95,177.35,2558,423974,75616789.00,
532834,CAMLINFINE  ,B ,Q,83.35,84.80,82.80,83.20,83.75,82.75,509,58328,4889065.00,
532835,ICRA        ,A ,Q,3270.00,3446.15,3256.00,3375.05,3375.05,3180.75,29,60,199522.00,
532839,DISH TV     ,A ,Q,72.50,74.20,72.50,73.90,73.90,72.70,549,115563,8524942.00,
532841,SAHYA INDU  ,X ,Q,245.00,252.00,242.70,248.40,248.40,238.70,153,11460,2834265.00,
532842,SREE RAYALA ,B ,Q,143.25,148.75,142.00,145.45,147.00,139.95,33,773,111874.00,
532843,FORTIS      ,A ,Q,144.70,146.70,144.65,145.60,145.65,144.45,932,133256,19393629.00,
532845,TGBHOTELS   ,B ,Q,31.05,32.55,31.00,31.50,31.20,31.45,47,6456,203062.00,
532847,HILTON MET  ,T ,Q,25.75,26.60,25.25,26.35,26.35,25.40,18,2398,61987.00,
532848,DELTA CORP  ,A ,Q,224.00,230.70,223.20,226.20,226.20,221.40,2944,312582,70881802.00,
532850,MIC ELECTRON,T ,Q,3.40,3.72,3.38,3.71,3.72,3.55,94,58292,205218.00,
532851,INSECTCID   ,B ,Q,701.50,720.95,697.45,706.80,704.00,690.85,163,1417,998342.00,
532852,MCD HOLDING ,B ,Q,32.30,33.10,30.50,32.80,32.80,30.40,37,4097,132022.00,
532853,ASAHI SONG  ,B ,Q,276.95,283.15,270.00,282.05,282.05,277.95,17,681,189423.00,
532854,NITIN FIRE  ,T ,Q,3.00,3.00,2.92,2.92,2.92,3.07,96,152482,445299.00,
532855,HARYA CAPFIN,X ,Q,40.70,40.80,40.70,40.80,40.80,42.45,2,355,14478.00,
532856,TIME TECHNO ,A ,Q,134.05,148.80,134.00,145.20,145.20,133.10,1466,82775,11974331.00,
532859,HGSL        ,B ,Q,818.55,875.00,818.50,846.95,838.10,797.70,725,13023,11164814.00,
532864,NELCAST     ,B ,Q,83.75,84.40,83.00,84.10,84.25,82.55,58,4580,384613.00,
532865,MEGHMANI    ,B ,Q,86.90,91.45,86.90,90.85,90.85,85.70,1741,287424,25805868.00,
532866,QUINTEGRA SO,T ,Q,0.64,0.64,0.64,0.64,0.64,0.67,2,100,64.00,
532867,V2RETAIL    ,B ,Q,408.95,419.00,395.05,405.35,405.35,402.10,1295,24305,9901926.00,
532868,DLF LIMITED ,A ,Q,201.00,205.60,201.00,203.00,202.05,200.55,1564,258415,52588953.00,
532869,TARMAT      ,B ,Q,42.40,46.40,42.15,45.80,45.95,44.20,32,2990,136213.00,
532871,CELESTIAL   ,B ,Q,12.88,12.88,12.30,12.30,12.30,12.80,15,2538,31522.00,
532872,SUNPHA ADV  ,A ,Q,377.35,380.20,371.10,372.65,372.65,370.35,552,15827,5942465.00,
532873,HOUSING DEV ,A ,Q,20.85,22.45,20.70,22.15,22.15,20.70,4604,2474719,53952050.00,
532874,SURYACHAKRA ,XT,Q,0.57,0.57,0.57,0.57,0.57,0.55,16,10300,5871.00,
532875,ALLIED DIGIT,B ,Q,19.00,19.00,17.70,17.80,18.20,17.30,56,10376,188513.00,
532877,SIMPLEX PROJ,B ,Q,20.50,22.45,20.50,22.15,22.15,20.85,26,3939,87688.00,
532878,ALPA LAB    ,B ,Q,25.20,29.45,25.20,29.15,29.40,27.00,70,14385,405161.00,
532880,OMAXE LTD   ,A ,Q,223.30,224.75,223.30,223.90,223.65,223.50,1222,185221,41472880.00,
532883,ZYLOG SYSTEM,T ,Q,1.41,1.41,1.34,1.34,1.34,1.41,9,5553,7476.00,
532884,REFEX       ,B ,Q,13.50,13.50,13.05,13.06,13.05,12.76,28,3709,49175.00,
532885,CENTRAL BK  ,A ,Q,76.00,76.60,75.50,76.05,76.05,75.05,335,42672,3247308.00,
532886,SEL MANUF   ,B ,Q,1.88,1.88,1.78,1.80,1.80,1.80,35,43313,78262.00,
532887,NTL         ,T ,Q,2.42,2.64,2.41,2.64,2.64,2.52,17,5321,13547.00,
532888,ASIAN GRANIT,B ,Q,363.00,370.30,360.05,364.15,363.00,360.35,414,4829,1762524.00,
532889,K.P.R. MILL ,A ,Q,585.85,610.00,567.35,606.25,610.00,580.85,155,2345,1400133.00,
532890,TAKE SOLUT  ,B ,Q,239.85,253.80,238.05,249.75,249.75,237.05,2024,78916,19664936.00,
532891,PURAVANKARA ,B ,Q,102.50,109.95,101.80,107.85,106.15,100.45,998,67711,7153993.00,
532892,MOTILALOFS  ,A ,Q,910.00,921.00,883.00,889.30,894.00,905.60,298,4057,3657176.00,
532893,VTM LTD     ,X ,Q,27.00,27.85,27.00,27.40,27.65,27.15,22,11135,301249.00,
532894,IWIND ENERGY,B ,Q,5.79,6.36,5.79,6.36,6.36,5.79,64,27039,168067.00,
532895,NAGREKA CAP ,B ,Q,44.00,45.70,41.50,42.50,41.50,41.50,71,5533,241484.00,
532896,MAGNUM VENT ,B ,Q,7.00,7.15,6.70,6.94,7.00,7.16,13,2930,20189.00,
532898,POWER GRID  ,A ,Q,200.50,203.90,198.30,202.80,202.80,201.85,2423,617854,124495929.00,
532899,KAVERI SEED ,A ,Q,518.05,528.30,514.30,524.90,524.90,515.65,257,12260,6426116.00,
532900,PAISALO     ,B ,Q,315.00,315.00,299.65,299.65,299.65,299.00,40,249,74888.00,
532902,CONSOL CONST,B ,Q,3.55,3.96,3.55,3.93,3.96,3.30,163,171780,670180.00,
532904,SUPREME INFR,B ,Q,35.90,37.00,35.90,36.20,36.20,36.65,13,1507,55000.00,
