SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1174.00,1176.00,1151.25,1158.70,1160.50,1190.50,585,5415,6302219.00,
500003,AEGIS LOGIS ,A ,Q,251.00,251.00,231.00,238.70,241.40,251.40,524,25945,6259738.00,
500008,AMAR RAJA BA,A ,Q,760.00,779.70,754.55,774.75,774.75,761.30,803,18118,13852276.00,
500009,A.SARABHAI  ,XT,Q,11.92,12.70,11.78,11.93,11.93,12.40,47,27119,322190.00,
500010,HDFC        ,A ,Q,1835.00,1850.00,1820.10,1847.05,1847.05,1832.70,1045,18144,33309681.00,
500012,ANDHRA PETRO,X ,Q,41.05,41.90,38.00,39.85,40.10,42.05,407,106165,4206612.00,
500013,ANSAL INFRAS,B ,Q,15.80,15.80,15.15,15.15,15.15,15.90,91,23114,351795.00,
500014,APPLE FINANC,XT,Q,1.64,1.79,1.64,1.79,1.79,1.71,9,2006,3366.00,
500016,ARUNA HOTEL ,XT,Q,24.70,24.70,24.70,24.70,24.70,26.00,3,800,19760.00,
500020,BOM DYEING  ,A ,Q,229.20,230.80,220.00,220.00,220.00,231.55,2116,298083,66873041.00,
500023,ASIANHOTNR  ,B ,Q,260.00,260.00,250.05,250.05,250.05,260.00,5,620,158751.00,
500024,ASSAMCO     ,B ,Q,3.80,3.84,3.70,3.72,3.72,3.82,56,94204,353765.00,
500027,ATUL LTD.   ,A ,Q,2769.95,2770.00,2723.25,2757.20,2770.00,2748.00,27,140,385653.00,
500028,ATV PROJECTS,XT,Q,9.21,9.35,8.71,8.71,8.71,9.16,12,1762,16250.00,
500029,AUTOLITE(I) ,B ,Q,60.45,61.25,55.60,56.05,55.60,60.70,168,17727,1008719.00,
500031,BAJAJ ELECT.,A ,Q,528.90,542.00,461.15,492.45,492.45,530.25,3813,142849,70795839.00,
500032,BAJAJHIND   ,A ,Q,7.25,7.48,6.82,7.09,7.09,7.07,1314,1712988,12290774.00,
500033,FORCE MOTR  ,B ,Q,2744.60,2744.60,2630.00,2642.85,2642.85,2745.60,3283,25931,69352170.00,
500034,BAJFINANCE  ,A ,Q,2065.80,2120.00,2055.00,2100.70,2100.70,2058.85,2031,40221,83881239.00,
500038,BALRAM.CHINI,A ,Q,71.50,74.40,70.25,72.20,72.20,70.00,4575,914420,66322606.00,
500039,BANCO PROD. ,B ,Q,220.10,220.10,213.10,214.95,215.75,222.60,112,6775,1463276.00,
500040,CENTURY TEXT,A ,Q,916.00,927.25,884.40,902.05,902.05,925.60,1665,53551,48367917.00,
500041,BANNARI AMAN,B ,Q,1597.95,1597.95,1490.00,1490.00,1490.00,1530.45,4,5,7613.00,
500042,BASF INDIA  ,B ,Q,1975.00,2013.65,1911.60,1931.05,1924.05,1993.60,148,719,1397057.00,
500043,BATA INDIA  ,A ,Q,748.95,758.95,740.00,749.15,749.15,751.60,1663,39188,29410881.00,
500048,BEML LTD    ,A ,Q,871.90,883.95,830.10,841.15,841.15,869.80,3326,93646,80029945.00,
500049,BHARAT ELECT,A ,Q,112.00,114.20,111.00,112.85,112.85,111.95,1967,255308,28779661.00,
500052,BHANSALI ENG,B ,Q,125.45,125.45,125.45,125.45,125.45,132.05,70,7818,980768.00,
500055,BHUSH STEEL ,B ,Q,40.40,40.40,40.40,40.40,40.40,42.50,123,38616,1560086.00,
500058,BIHAR SPONGE,XT,Q,1.12,1.22,1.12,1.12,1.12,1.17,17,15800,18196.00,
500059,BINANI IND. ,B ,Q,84.05,84.05,82.00,82.70,83.00,84.00,103,7158,593815.00,
500060,BIRLACABLE  ,T ,Q,81.10,82.00,80.75,80.75,80.75,85.00,118,7592,614319.00,
500067,BLUE STAR   ,A ,Q,678.75,686.00,675.00,680.60,679.45,678.75,85,1209,821258.00,
500068,DISA INDIA  ,X ,Q,5810.00,5915.00,5656.00,5915.00,5915.00,5877.00,4,7,40621.00,
500069,BNK CAPITAL ,X ,Q,87.25,87.40,87.25,87.25,87.25,91.25,10,1075,93811.00,
500074,BPL LTD.    ,B ,Q,50.65,53.00,49.45,52.00,52.00,51.25,757,84725,4357207.00,
500078,OAL         ,X ,Q,784.00,785.00,755.00,759.15,759.15,774.85,44,2115,1642503.00,
500083,CENTURY EXT ,B ,Q,5.35,6.30,5.18,5.95,5.95,5.74,209,113790,664851.00,
500084,CESC LTD.   ,A ,Q,1004.75,1007.00,976.00,984.45,984.45,1005.65,613,12780,12632118.00,
500085,CHAMBAL FERT,A ,Q,163.00,163.00,158.15,160.05,160.00,162.20,699,54537,8739012.00,
500086,EXIDE IND.  ,A ,Q,255.50,256.10,248.00,252.60,254.50,255.25,2722,119407,30133412.00,
500087,CIPLA LTD.  ,A ,Q,525.00,542.75,518.00,540.50,540.50,519.85,3214,3088472,1608118238.00,
500089,DIC INDIA   ,B ,Q,390.00,415.00,390.00,411.50,413.00,410.10,10,53,21112.00,
500092,CRISIL LTD  ,A ,Q,1760.10,1820.00,1760.10,1813.75,1802.80,1799.20,159,1362,2461337.00,
500093,CGPOWER     ,A ,Q,56.90,58.00,54.20,55.55,55.55,56.85,2834,630149,35351927.00,
500096,DABUR (I)   ,A ,Q,385.50,387.30,379.40,381.10,381.00,384.10,1438,26378,10100864.00,
500097,DALMIASUG   ,B ,Q,66.00,66.00,61.15,62.60,63.00,63.10,233,21963,1399932.00,
500101,ARVIND Ltd  ,A ,Q,376.75,384.00,371.15,382.85,384.00,378.90,1035,51970,19689324.00,
500102,BALARPUR IND,B ,Q,10.61,10.61,10.00,10.08,10.08,10.69,307,257492,2609378.00,
500103,BHEL        ,A ,Q,75.20,75.45,72.65,73.20,73.20,75.20,6623,1140674,84034672.00,
500104,HIND.PETRO  ,A ,Q,313.50,318.20,310.40,315.70,315.70,312.25,4837,455299,143043870.00,
